id,user_id,started_at,ended_at,duration_seconds
1,yitgouhipjokp,2025-09-13 10:16:38.766848+00,2025-09-13 10:17:31.496985+00,52
2,yitgouhipjokp,2025-09-13 10:17:32.192863+00,2025-09-13 10:17:37.418749+00,5
3,4567890-=,2025-09-13 10:17:41.25956+00,2025-09-13 10:18:34.02824+00,52
4,dtrfyguhijokp,2025-09-13 10:26:58.952488+00,2025-09-13 10:27:03.175891+00,4
5,Nico6,2025-09-13 11:00:49.354925+00,2025-09-13 11:00:54.015998+00,4
6,Nico7,2025-09-13 11:03:14.996693+00,2025-09-13 18:21:23.639335+00,26288
7,Kathrin1,2025-09-13 17:56:58.154906+00,2025-09-13 17:57:20.178389+00,24
8,Kathrin1,2025-09-13 17:57:22.890791+00,2025-09-13 17:57:21.896876+00,2
9,Kathrin3,2025-09-13 18:00:06.900856+00,2025-09-13 18:00:15.350244+00,10
10,Kathrin3,2025-09-13 18:00:18.06206+00,2025-09-13 18:13:30.070669+00,795
11,65789,2025-09-13 18:21:16.675819+00,2025-09-13 18:24:34.576995+00,198
12,456789,2025-09-14 08:12:07.93486+00,2025-09-14 08:12:10.322617+00,2
13,456789,2025-09-14 08:13:03.387242+00,2025-09-14 08:21:33.901149+00,510
14,2345678,2025-09-14 08:23:32.476146+00,2025-09-14 08:38:18.254206+00,885
15,456789,2025-09-14 08:38:31.159361+00,2025-09-14 08:42:22.805297+00,231
16,456789,2025-09-14 08:42:23.528615+00,2025-09-14 08:42:23.999262+00,1
17,3456789,2025-09-14 08:45:16.12617+00,2025-09-14 08:46:45.817497+00,89
18,345678,2025-09-14 08:54:21.534731+00,2025-09-14 08:57:11.322645+00,170
19,45678,2025-09-14 08:57:17.184708+00,2025-09-14 09:00:49.189226+00,212
20,3456789,2025-09-14 09:03:36.427073+00,2025-09-14 09:03:55.273934+00,19
21,345678,2025-09-14 09:08:48.63553+00,2025-09-14 09:11:21.814129+00,153
22,345678,2025-09-14 09:11:28.686567+00,2025-09-14 09:13:03.026161+00,94
23,45678,2025-09-14 09:13:08.018846+00,2025-09-14 09:22:37.654194+00,569
24,4356789,2025-09-14 09:22:42.6828+00,2025-09-14 09:25:14.656995+00,151
25,3456789,2025-09-14 09:25:19.58549+00,2025-09-14 09:28:07.365169+00,167
26,456789,2025-09-14 09:28:11.915156+00,2025-09-14 09:33:20.875889+00,308
27,23456789,2025-09-14 09:33:31.307052+00,2025-09-14 09:35:38.698119+00,127
28,23456789,2025-09-14 09:35:39.671721+00,,
29,23456789,2025-09-14 09:35:38.983+00,2025-09-14 09:35:39.783771+00,0
30,23456789,2025-09-14 09:35:38.983+00,2025-09-14 09:35:39.783795+00,0
31,3456789,2025-09-14 09:35:44.818163+00,2025-09-14 09:37:03.304061+00,78
32,3456789,2025-09-14 09:37:03.494065+00,2025-09-14 09:43:02.51214+00,359
33,234567890,2025-09-14 09:43:08.564801+00,2025-09-14 09:46:58.329088+00,229
34,2345678,2025-09-14 09:47:05.110193+00,2025-09-14 09:51:28.12995+00,263
35,32456789,2025-09-14 09:51:36.039419+00,,
36,1234567890,2025-09-14 09:53:15.731632+00,2025-09-14 09:59:35.678142+00,380
37,Guokbvv,2025-09-14 09:54:47.576759+00,2025-09-14 09:55:02.105301+00,14
38,Gjkkkhhg,2025-09-14 09:57:33.317901+00,2025-09-14 09:58:07.450432+00,34
39,Kendkffb,2025-09-14 09:58:25.310301+00,,
40,Ok remeberance is of,2025-09-14 09:58:47.414805+00,2025-09-14 09:58:57.758482+00,10
41,Skdldlfn,2025-09-14 10:04:38.069392+00,2025-09-14 10:04:58.85315+00,20
42,Guokbvv,2025-09-14 10:05:14.845898+00,,
43,Nico,2025-09-14 10:56:23.675595+00,2025-09-14 10:56:33.424957+00,9
44,Nico,2025-09-14 10:56:35.354309+00,2025-09-14 10:57:04.84138+00,29
45,15,2025-09-14 12:48:04.902366+00,2025-09-14 12:48:28.176156+00,23
46,20,2025-09-14 12:49:16.432349+00,2025-09-14 14:55:48.083765+00,7591
47,Tudijdbfldn,2025-09-14 15:51:20.574434+00,,
48,xxx,2025-09-14 15:51:24.202033+00,,
49,Nico,2025-09-14 15:52:38.2148+00,2025-09-14 15:52:58.514937+00,20
50,Kendkffb,2025-09-14 15:54:58.200234+00,2025-09-14 15:55:01.551523+00,3
51,Nico,2025-09-14 16:32:11.74522+00,2025-09-14 16:32:27.631315+00,16
52,32141234,2025-09-15 06:15:47.100812+00,2025-09-15 06:15:59.37808+00,12
53,Nico456,2025-09-15 09:49:29.313489+00,2025-09-15 09:49:39.69055+00,10
54,Nico456,2025-09-15 09:49:48.060418+00,2025-09-15 09:49:56.02822+00,7
55,NicoCookie,2025-09-15 09:55:20.605053+00,2025-09-15 09:55:31.739964+00,10
56,NicoCookie,2025-09-15 10:00:55.366468+00,2025-09-15 10:03:46.401555+00,170
57,Nico123,2025-09-15 10:03:47.211858+00,2025-09-15 10:04:23.131592+00,35
58,Nico,2025-09-15 10:04:37.890132+00,2025-09-15 10:04:39.764799+00,2
59,Nico,2025-09-15 10:04:41.772483+00,2025-09-15 10:04:45.759726+00,3
60,A9dF3kLmP8tUvWxYzR5QhC2h,2025-09-15 11:59:19.630848+00,2025-09-15 11:59:31.455815+00,11
100,123456789012345678901234,2025-09-15 13:06:50.765138+00,2025-09-15 13:07:03.149609+00,12
140,NicoCookie,2025-09-16 09:10:51.427589+00,2025-09-16 09:46:58.888028+00,2168
141,NicoCookie,2025-09-16 10:16:33.068959+00,2025-09-16 10:16:42.471341+00,10
142,NicoCookie,2025-09-16 13:15:31.452744+00,2025-09-16 13:27:14.34886+00,706
143,123456789012345678901234,2025-09-16 18:49:31.285017+00,2025-09-16 19:12:04.589456+00,1353
144,123456789012346578909872,2025-09-16 18:49:32.564461+00,2025-09-16 18:50:06.490859+00,34
146,123456789012346578909872,2025-09-16 19:08:21.872023+00,,
147,123456789012345678901234,2025-09-16 19:08:39.513134+00,2025-09-16 19:08:47.524001+00,8
401,123456789012345678901234,2025-09-16 19:12:04.887885+00,2025-09-16 19:24:12.055245+00,727
475,123456789012345678901234,2025-09-16 19:24:11.925862+00,,
476,123456789012345678901234,2025-09-17 07:33:57.017052+00,,
477,123456789012345678901234,2025-09-17 07:35:01.014763+00,2025-09-17 07:35:08.828112+00,7
478,123456789012345678901234,2025-09-17 07:35:10.529359+00,2025-09-17 07:35:14.636638+00,4
479,123456789012345678901234,2025-09-17 14:43:44.071667+00,2025-09-17 15:16:57.378237+00,1993
480,123456789012345678901234,2025-09-17 14:43:59.61381+00,2025-09-17 14:44:20.409083+00,20
481,123456789012345678901234,2025-09-30 12:11:34.139831+00,2025-09-30 12:12:33.782117+00,59
482,123456789012345678901234,2025-10-08 19:26:31.293617+00,2025-10-08 19:26:43.173425+00,12
483,123456789012345678901234,2025-10-08 19:26:52.203713+00,2025-10-08 19:26:55.315715+00,3
484,123456789012345678901234,2025-10-19 16:22:39.315692+00,2025-10-19 16:23:32.630102+00,53
485,asssssssssssssssssssssss,2025-10-25 15:10:42.310125+00,2025-10-27 01:19:12.218179+00,122910
486,asssssssssssssssssssssss,2025-10-25 21:48:42.277605+00,2025-10-25 22:35:20.311915+00,2798
487,asssssssssssssssssssssss,2025-10-26 18:21:41.678888+00,2025-10-26 20:38:14.491008+00,8193
488,asssssssssssssssssssssss,2025-10-27 17:27:33.524918+00,2025-10-27 17:28:16.607306+00,44
489,111111111111111111111111,2025-10-27 21:01:16.376538+00,2025-10-27 21:01:26.07253+00,9
490,111111111111111111111111,2025-10-27 21:01:28.394149+00,2025-10-27 21:01:38.840621+00,10
491,asssssssssssssssssssssss,2025-10-28 22:41:49.990606+00,2025-10-29 00:53:50.547246+00,7921
492,xhbc-bzt6,2025-11-01 00:41:17.887832+00,2025-11-01 00:51:22.98812+00,605
493,xhbc-bzt6,2025-11-01 00:52:24.974299+00,2025-11-01 00:52:57.453768+00,34
494,xhbc-bzt6,2025-11-01 00:53:00.604594+00,2025-11-01 00:53:15.271216+00,14
495,xhbc-bzt6,2025-11-01 00:53:21.129417+00,2025-11-01 00:55:32.024249+00,131
496,xhbc-bzt6,2025-11-01 00:54:30.890663+00,2025-11-01 00:54:40.778947+00,9
497,xhbc-bzt6,2025-11-01 00:57:28.325176+00,2025-11-01 00:58:22.43883+00,54
498,xhbc-bzt6,2025-11-01 20:19:30.998649+00,2025-11-01 20:55:33.160244+00,2162
499,xhbc-sct3,2025-11-01 20:59:29.452544+00,2025-11-01 21:00:10.21643+00,40
500,xhbc-sct3,2025-11-01 21:00:10.431536+00,2025-11-01 21:00:32.975379+00,22
501,xhbc-sct3,2025-11-01 21:00:34.96879+00,2025-11-01 21:00:46.918824+00,12
502,xhbc-sct3,2025-11-01 21:24:20.912878+00,2025-11-01 21:25:03.54044+00,43
503,xhbc-sct3,2025-11-01 21:25:25.493187+00,2025-11-01 21:27:18.590398+00,113
504,xhbc-sct3,2025-11-01 21:27:21.760961+00,2025-11-01 21:27:26.653728+00,5
505,xhbc-sct3,2025-11-01 21:29:47.703826+00,2025-11-01 21:29:58.216704+00,10
506,xhbc-bzt6,2025-11-01 22:00:52.727961+00,2025-11-01 22:06:23.217266+00,330
